{'Time': 0.02857142857142857, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 20, 'Block_id': 0, 'Create_time': 0.02857142857142857, 'Deadline': 0.2, 'Offset': 19, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02892857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.003214285714285715, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 18, 'Block_id': 0, 'Create_time': 0.025714285714285714, 'Deadline': 0.2, 'Offset': 17, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.02942857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0022857142857142868, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 19, 'Block_id': 0, 'Create_time': 0.027142857142857142, 'Deadline': 0.2, 'Offset': 18, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 21, 'Block_id': 0, 'Create_time': 0.03, 'Deadline': 0.2, 'Offset': 20, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03042857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0032857142857142868, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 19, 'Block_id': 0, 'Create_time': 0.027142857142857142, 'Deadline': 0.2, 'Offset': 18, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03092857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0023571428571428584, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 20, 'Block_id': 0, 'Create_time': 0.02857142857142857, 'Deadline': 0.2, 'Offset': 19, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03142857142857143, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 22, 'Block_id': 0, 'Create_time': 0.03142857142857143, 'Deadline': 0.2, 'Offset': 21, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03192857142857143, 'Type': 'A', 'Position': 2, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0033571428571428585, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 20, 'Block_id': 0, 'Create_time': 0.02857142857142857, 'Deadline': 0.2, 'Offset': 19, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03242857142857143, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.00242857142857143, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 21, 'Block_id': 0, 'Create_time': 0.03, 'Deadline': 0.2, 'Offset': 20, 'Payload': 1480, 'Packet_size': 1500}
{'Time': 0.03285714285714286, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014285714285714286, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Packet_id': 23, 'Block_id': 0, 'Create_time': 0.03285714285714286, 'Deadline': 0.2, 'Offset': 22, 'Payload': 1480, 'Packet_size': 1500}
