{'Time': 0.10276420218880039, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 2, 'Block_id': 7, 'Create_time': 0.10276420218880039}
{'Time': 0.0028545611719111193, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10007271941404444, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 2, 'Block_id': 0, 'Create_time': 0.0028545611719111193}
{'Time': 0.10419148277475596, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 3, 'Block_id': 7, 'Create_time': 0.10419148277475596}
{'Time': 0.004281841757866679, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10014543882808889, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 3, 'Block_id': 0, 'Create_time': 0.004281841757866679}
{'Time': 0.10561876336071152, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 4, 'Block_id': 7, 'Create_time': 0.10561876336071152}
{'Time': 0.0057091223438222385, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10021815824213333, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 4, 'Block_id': 0, 'Create_time': 0.0057091223438222385}
{'Time': 0.10704604394666709, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 5, 'Block_id': 7, 'Create_time': 0.10704604394666709}
{'Time': 0.007136402929777798, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.10029087765617777, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 5, 'Block_id': 0, 'Create_time': 0.007136402929777798}
{'Time': 0.10847332453262265, 'Type': 'S', 'Position': 0, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.0, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 6, 'Block_id': 7, 'Create_time': 0.10847332453262265}
{'Time': 0.008563683515733358, 'Type': 'A', 'Position': 1, 'Send_delay': 0.0014272805859555596, 'Queue_delay': 0.1003635970702222, 'Propagation_delay': 0.0002, 'Drop': 0, 'Package_id': 6, 'Block_id': 0, 'Create_time': 0.008563683515733358}
